Category,Card Name,Price (USD),Inclusion,Synergy,Trend,EDHREC Sections,Note
Maybeboard,"Minthara, Merciless Soul",$0.22,24%,22%,-0.40,creatures,
Maybeboard,Airbender Ascension,$1.16,24%,21%,+1.43,enchantments,
Maybeboard,Corrupted Conviction,$0.32,31%,20%,+0.30,instants,
Maybeboard,Hymn of the Faller,$0.07,21%,20%,-1.51,sorceries,
Maybeboard,Distinguished Conjurer,$0.27,22%,19%,+0.25,creatures,
Maybeboard,Vampiric Rites,$0.19,26%,19%,-0.27,enchantments,
Maybeboard,"Sothera, the Supervoid",$3.17,21%,19%,-0.74,enchantments,
Maybeboard,Veteran Soldier,$0.16,20%,19%,-0.58,enchantments,
Maybeboard,"Susur Secundi, Void Altar",$4.59,23%,19%,-0.98,utilitylands,
Maybeboard,Disciple of Bolas,$0.30,21%,18%,-0.28,creatures,
Maybeboard,Village Rites,$0.78,39%,17%,-0.09,topcards,
Maybeboard,Susurian Voidborn,$0.29,19%,17%,-0.33,creatures,
Maybeboard,Cathars' Crusade,$8.07,22%,17%,-0.25,enchantments,
Protection,"Gilraen, Dúnedain Protector",$0.36,43%,41%,-0.43,highsynergycards,
Protection,Eerie Interlude,$6.50,29%,24%,-1.05,instants,
Protection,Noble Heritage,$0.33,25%,23%,+0.41,enchantments,
Protection,Semester's End,$1.13,19%,17%,-0.53,instants,
Protection,Bastion Protector,$1.11,,,,,Not on EDHREC page
Protection,Malakir Rebirth // Malakir Mire,—,,,,,Not on EDHREC page
Ramp,Solemn Simulacrum,$0.21,36%,21%,-0.64,creatures,
Ramp,Knight of the White Orchid,$4.52,23%,15%,+0.01,creatures,
Ramp,Claim Jumper,$0.29,15%,12%,+0.49,creatures,
Ramp,Talisman of Hierarchy,$0.48,49%,-4%,+0.00,manaartifacts,
Ramp,Arcane Signet,$0.42,76%,-5%,+0.00,manaartifacts,
Ramp,Sol Ring,$1.27,79%,-6%,+0.00,manaartifacts,
Ramp,Loyal Warhound,$0.42,,,,,Not on EDHREC page
Removal,Parting Gust,$0.61,48%,44%,+0.10,highsynergycards,
Removal,Deathbringer Liege,$1.53,34%,30%,-0.89,creatures,
Removal,Loran of the Third Path,$3.44,23%,14%,+0.05,creatures,
Removal,Beyond the Quiet,$0.35,11%,11%,-0.48,sorceries,
Removal,Fell the Profane // Fell Mire,—,,,,,Not on EDHREC page
Removal,Massacre Wurm,—,,,,,Not on EDHREC page
Removal,Primaris Eliminator,$2.42,,,,,Not on EDHREC page
Removal,Skyclave Apparition,$0.25,,,,,Not on EDHREC page
Removal,Sunblast Angel,$0.58,,,,,Not on EDHREC page
Tokens,Knight Luminary,$0.06,22%,21%,-0.51,creatures,
Tokens,Rayblade Trooper,$0.06,22%,21%,-0.56,creatures,
Tokens,Voice of Victory,$18.60,25%,19%,+0.23,creatures,
Tokens,Company Commander,$2.86,15%,13%,-0.25,creatures,
Tokens,"Dion, Bahamut's Dominant // Bahamut, Warden of Light",—,,,,,Not on EDHREC page
Tokens,Grave Titan,$0.36,,,,,Not on EDHREC page
Tutor,Rune-Scarred Demon,$0.53,,,,,Not on EDHREC page
